Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2025-02-20;76,0903;77,1172;75,814;76,4829;;
2025-02-19;76,1707;76,806;75,9105;76,1053;;
2025-02-18;75,6185;76,0689;74,9403;75,7553;;
2025-02-17;74,9269;75,2457;74,4526;75,2457;;
2025-02-14;75,3467;75,8427;74,5685;74,7279;;
2025-02-13;74,5222;75,1708;74,0626;75,1627;;
2025-02-12;76,844;76,906;75,0412;75,0412;;
2025-02-11;76,3241;77,2639;76,3241;76,9206;;
2025-02-10;75,3691;76,0665;74,9746;76,024;;
2025-02-07;74,9052;75,1088;74,294;74,6382;;
2025-02-06;74,9095;75,3606;74,1089;74,2968;;
2025-02-05;76,0972;76,0972;74,5738;74,7422;;
2025-02-04;75,3341;76,6499;74,1555;75,9546;;
2025-02-03;76,6315;77,2352;75,096;75,8028;;
2025-01-31;76,3897;76,412;75,1801;76,022;;
2025-01-30;75,6917;76,5855;74,9917;75,9216;;
2025-01-29;76,4542;76,6428;75,3651;75,8303;;
2025-01-28;76,7546;77,1697;75,923;76,5283;;
2025-01-27;77,1053;77,9311;75,5179;76,0756;;
2025-01-24;77,6095;78,0597;77,0729;77,4736;;
2025-01-23;78,725;79,5844;77,8655;77,8823;;
2025-01-22;79,1648;79,8953;78,8135;78,9664;;
2025-01-21;80,0048;80,1418;78,4743;79,5183;;
2025-01-20;80,6022;80,9368;79,436;80,1107;;
2025-01-17;81,6729;81,8992;80,5593;80,7639;;
2025-01-16;82,3721;82,3721;80,4047;81,4031;;
2025-01-15;80,4562;82,6095;79,6333;82,4828;;
2025-01-14;80,5234;81,1425;79,8868;80,1706;;
2025-01-13;81,2253;81,673;80,373;80,8492;;
2025-01-10;77,4347;80,7204;77,4347;79,7256;;
2025-01-09;76,3467;77,2223;75,9155;77,2153;;
2025-01-08;77,5047;77,8761;76,041;76,2195;;
2025-01-07;76,3689;77,2749;75,9162;77,0612;;
2025-01-06;76,3498;77,4797;75,954;76,2247;;
2025-01-03;75,9089;76,7304;75,534;76,572;;
2025-01-02;74,9529;76,5241;74,7455;75,8889;;
2024-12-30;73,778;74,1076;73,3939;73,9786;;
2024-12-27;72,874;73,9232;72,8071;73,4096;;
2024-12-23;73,2607;73,3602;71,985;72,8927;;
2024-12-20;72,5919;73,2717;72,0042;72,9667;;
2024-12-19;73,1421;73,864;72,5524;72,56;;
2024-12-18;73,3113;74,1857;72,8073;72,8324;;
2024-12-17;74,0353;74,1709;72,4951;73,284;;
2024-12-16;74,2171;74,3312;73,7059;73,7999;;
2024-12-13;73,5234;74,5828;73,3557;74,3633;;
2024-12-12;73,6946;73,9721;72,4411;73,5105;;
2024-12-11;72,7777;73,7408;72,3008;73,568;;
2024-12-10;71,8389;72,7144;71,5363;71,9753;;
2024-12-09;71,5429;72,645;71,3753;71,9244;;
2024-12-06;71,9095;72,1472;70,8653;71,0578;;
2024-12-05;72,5019;72,9003;71,8352;72,22;;
